Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
Olaria;1;0;0;55;850.0;40.0;1238.5
Vicente de Carvalho;1;0;0;55;600.0;1874.0;16.0
Botafogo;1;0;0;22;830.0;599.0;29.0
Cacuia;1;0;0;37;800.0;200.0;24.0
Vila Isabel;1;0;0;36;1000.0;480.0;20.0
Pedra de Guaratiba;1;0;0;35;450.0;1007.5;264.5
Campinho;1;0;1;35;660.0;66.0;55.0
Del Castilho;1;0;0;50;1000.0;727.0;18.0
Méier;1;0;0;67;800.0;430.0;423.0
Copacabana;1;0;0;20;1100.0;400.0;325.0
Freguesia (Jacarepaguá);1;1;0;49;950.0;430.0;35.0
Estácio;1;1;1;32;1000.0;410.0;21.0
Campinho;1;0;0;69;600.0;504.5;492.0
Flamengo;1;0;0;18;1000.0;373.0;29.0
Méier;1;0;0;40;700.0;355.0;17.0
Pechincha;1;1;0;50;600.0;500.0;20.0
Centro;1;0;0;48;800.0;80.0;965.0
Engenho Novo;1;1;0;45;590.0;270.0;16.0
Barra da Tijuca;1;1;0;42;950.0;650.0;15.0
Barra da Tijuca;1;1;1;45;1070.0;644.0;37.0
Méier;1;0;0;33;700.0;315.0;14.0
Tauá;1;0;0;50;870.0;150.0;521.3333333333333
Tijuca;1;0;0;43;1100.0;210.0;650.25
Vigário Geral;1;0;0;40;500.0;2350.0;315.1428571428571
Cachambi;1;0;0;50;900.0;982.5;810.0
Itanhangá;1;0;0;30;700.0;839.0;142.0
Quintino Bocaiúva;1;1;0;35;650.0;314.0;197.5
São Cristóvão;1;1;0;60;1100.0;400.0;11.0
Ramos;1;1;0;55;1000.0;1080.0;133.0
Vaz Lobo;1;0;0;60;800.0;870.0;819.0
Lins de Vasconcelos;1;1;0;42;1050.0;504.0;16.0
Rio Comprido;1;1;0;99;1000.0;777.0;68.0
Leme;1;0;0;26;1100.0;605.0;26.0
São Cristóvão;1;0;0;41;1000.0;130.0;298.0
Higienópolis;1;0;0;45;700.0;130.0;275.5
Tijuca;1;0;0;24;1000.0;400.0;357.5
Centro;1;0;0;36;900.0;230.0;20.0
Campo Grande;1;0;0;45;950.0;1425.0;2.0
Centro;1;0;0;35;950.0;425.0;25.0
Engenho Novo;1;1;0;51;800.0;532.0;16.0
Centro;1;0;0;35;1150.0;430.0;180.0
Irajá;1;0;0;40;700.0;897.5;151.8
Andaraí;1;0;0;48;1050.0;195.0;20.0
Piedade;1;1;0;40;650.0;305.0;16.0
Centro;1;0;0;34;900.0;400.0;125.33333333333333
Freguesia (Jacarepaguá);1;1;0;67;1000.0;470.0;16.0
Jacarepaguá;1;1;0;55;900.0;480.0;40.0
Rocha Miranda;1;0;0;44;750.0;1187.0;1300.5
Cachambi;1;1;0;45;700.0;210.0;953.3333333333334
Centro;1;0;0;20;800.0;338.0;20.0
São Cristóvão;1;0;0;45;700.0;270.0;20.0
Campo Grande;1;0;0;40;490.0;460.0;161.33333333333334
Curicica;1;0;0;45;950.0;150.0;157.0
Centro;1;0;0;30;900.0;415.0;23.0
Centro;1;1;0;46;1100.0;560.0;490.0
Copacabana;1;0;0;56;1100.0;920.0;190.0
Pavuna;1;1;0;50;600.0;2588.5;965.8571428571429
Catete;1;0;0;22;900.0;446.0;521.4285714285714
Santo Cristo;1;1;0;27;800.0;120.0;3750.0
Bento Ribeiro;1;1;0;51;600.0;1125.0;55.2
Jacarepaguá;1;0;0;30;700.0;112.0;188.25
Quintino Bocaiúva;1;0;0;60;700.0;270.0;552.5
Itanhangá;1;1;0;45;1000.0;1084.0;183.33333333333331
Tijuca;1;0;0;45;1150.0;458.0;46.0
Glória;1;0;0;35;1150.0;350.0;25.0
Anchieta;1;0;0;60;690.0;745.0;169.0
Centro;1;0;0;47;950.0;250.0;109.0
Praça Seca;1;1;0;56;900.0;240.0;125.0
Centro;1;0;0;30;800.0;280.0;24.0
Centro;1;0;0;25;1000.0;280.0;175.0
Vicente de Carvalho;1;0;0;40;610.0;95.0;734.6666666666667
Campo Grande;1;0;0;40;480.0;2150.0;782.8
